Jan. 12, 2020   22:44:16
Cyclic Voltammetry
File: c:\users\17608\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High E (V) = 2
Low E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 4
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Potential/V, Current/A, Charge/C, Time/s
0.105, 1.105e-3, 1.339e-3, 2.120e+0
0.106, 1.111e-3, 1.362e-3, 2.140e+0
0.107, 1.117e-3, 1.384e-3, 2.160e+0
0.108, 1.123e-3, 1.406e-3, 2.180e+0
0.109, 1.129e-3, 1.429e-3, 2.200e+0
0.110, 1.135e-3, 1.452e-3, 2.220e+0
0.111, 1.141e-3, 1.474e-3, 2.240e+0
0.112, 1.147e-3, 1.497e-3, 2.260e+0
0.113, 1.153e-3, 1.520e-3, 2.280e+0
0.114, 1.159e-3, 1.544e-3, 2.300e+0
0.115, 1.165e-3, 1.567e-3, 2.320e+0
0.116, 1.171e-3, 1.590e-3, 2.340e+0
0.117, 1.177e-3, 1.614e-3, 2.360e+0
0.118, 1.183e-3, 1.638e-3, 2.380e+0
0.119, 1.189e-3, 1.661e-3, 2.400e+0
0.120, 1.195e-3, 1.685e-3, 2.420e+0
0.121, 1.201e-3, 1.709e-3, 2.440e+0
0.122, 1.207e-3, 1.733e-3, 2.460e+0
0.123, 1.213e-3, 1.758e-3, 2.480e+0
0.124, 1.219e-3, 1.782e-3, 2.500e+0
0.125, 1.224e-3, 1.806e-3, 2.520e+0
0.126, 1.230e-3, 1.831e-3, 2.540e+0
0.127, 1.236e-3, 1.856e-3, 2.560e+0
0.128, 1.242e-3, 1.881e-3, 2.580e+0
0.129, 1.248e-3, 1.906e-3, 2.600e+0
0.130, 1.253e-3, 1.931e-3, 2.620e+0
0.131, 1.259e-3, 1.956e-3, 2.640e+0
0.132, 1.265e-3, 1.981e-3, 2.660e+0
0.133, 1.270e-3, 2.007e-3, 2.680e+0
0.134, 1.276e-3, 2.032e-3, 2.700e+0
0.135, 1.282e-3, 2.058e-3, 2.720e+0
0.136, 1.288e-3, 2.083e-3, 2.740e+0
0.137, 1.294e-3, 2.109e-3, 2.760e+0
0.138, 1.298e-3, 2.135e-3, 2.780e+0
0.139, 1.304e-3, 2.161e-3, 2.800e+0
0.140, 1.310e-3, 2.188e-3, 2.820e+0
0.141, 1.315e-3, 2.214e-3, 2.840e+0
0.142, 1.321e-3, 2.240e-3, 2.860e+0
0.143, 1.326e-3, 2.267e-3, 2.880e+0
0.144, 1.332e-3, 2.293e-3, 2.900e+0
0.145, 1.338e-3, 2.320e-3, 2.920e+0
0.146, 1.343e-3, 2.347e-3, 2.940e+0
0.147, 1.349e-3, 2.374e-3, 2.960e+0
0.148, 1.354e-3, 2.401e-3, 2.980e+0
0.149, 1.359e-3, 2.428e-3, 3.000e+0
0.150, 1.365e-3, 2.456e-3, 3.020e+0
0.151, 1.370e-3, 2.483e-3, 3.040e+0
0.152, 1.375e-3, 2.510e-3, 3.060e+0
0.153, 1.381e-3, 2.538e-3, 3.080e+0
0.154, 1.386e-3, 2.566e-3, 3.100e+0
0.155, 1.392e-3, 2.594e-3, 3.120e+0
0.156, 1.397e-3, 2.622e-3, 3.140e+0
0.157, 1.402e-3, 2.650e-3, 3.160e+0
0.158, 1.408e-3, 2.678e-3, 3.180e+0
0.159, 1.413e-3, 2.706e-3, 3.200e+0
