Aug. 2, 2019   08:39:01,,
Chronopotentiometry,,,
File: f:\Data Source:  Experiment,,,
Instrument Model:  CHI660E,,,
Header: ,,,
Note: ,,,
Cathodic Current (A) = 1.5e-3,,,
Anodic Current (A) = 1.5e-3,,,
Init P/N = P,,,
Data Storage Interval (s) = 1.6,,,
High E Limit (V) = 0.8,,,
Low E Limit (V) = 0,,,
Cathodic Time (s) = 10,,,
Anodic Time (s) = 10,,,
Current Switching Polarity = Potential,,,
Segment = 1e+4,,,
Time/sec, Potential/V,,
36.99999907,0.578097403,,
37.49999905,0.592722952,,
37.99999904,0.607535779,,
38.49999903,0.622485876,,
38.99999901,0.637487829,,
39.499999,0.652481079,,
39.99999899,0.667358518,,
40.49999898,0.682009995,,
40.99999896,0.696321607,,
41.49999895,0.710186303,,
41.99999894,0.723567784,,
42.49999893,0.736457348,,
42.99999891,0.748895407,,
43.4999989,0.760985732,,
43.99999889,0.77282697,,
44.49999888,0.784548759,,
44.90559887,0.795167029,,
45.40559885,0.71483469,,
45.90559884,0.653823376,,
46.40559883,0.610991597,,
46.90559882,0.575442195,,
47.4055988,0.544304967,,
47.90559879,0.516066134,,
48.40559878,0.489939272,,
48.90559876,0.465618193,,
49.40559875,0.443109065,,
49.90559874,0.422511399,,
50.40559873,0.40394491,,
50.90559871,0.387447417,,
51.4055987,0.372927397,,
51.90559869,0.360202223,,
52.40559868,0.349040359,,
52.90559866,0.339176416,,
53.40559865,0.330390722,,
53.90559864,0.32244882,,
54.40559863,0.315185755,,
54.90559861,0.308455408,,
55.4055986,0.302104324,,
55.90559859,0.296072692,,
56.40559858,0.290288687,,
56.90559856,0.284687698,,
57.40559855,0.279236734,,
57.90559854,0.273920029,,
58.40559852,0.268695563,,
58.90559851,0.263550162,,
59.4055985,0.258485496,,
59.90559849,0.253491253,,
60.40559847,0.248559996,,
60.90559846,0.243682459,,
61.40559845,0.238869324,,
61.90559844,0.234111652,,
62.40559842,0.22940807,,
62.90559841,0.224744007,,
63.4055984,0.220132098,,
63.90559839,0.215570807,,
64.40559837,0.211063072,,
64.90559836,0.206591144,,
65.40559835,0.202169687,,
65.90559834,0.197789207,,
66.40559832,0.193454355,,
66.90559831,0.189151138,,
67.4055983,0.184878483,,
67.90559828,0.180649787,,
68.40559827,0.176457748,,
68.90559826,0.172299847,,
69.40559825,0.168169498,,
69.90559823,0.164070591,,
70.40559822,0.16000852,,
70.90559821,0.155974761,,
71.4055982,0.151962817,,
71.90559818,0.1479716,,
72.40559817,0.144007489,,
